,Week,ASP*,Total Volume,4046,4225,4770,Total Bagged,  Sml Bagged,  Lrg Bagged,  XLrg Bagged
545,7/3/2016,$1.06,"39,993,186","12,508,937","13,315,901","1,761,343","12,407,004","9,967,538","1,887,772","551,694"
546,6/26/2016,$1.04,"36,617,024","12,189,035","12,029,919","1,624,942","10,773,128","8,834,970","1,609,569","328,589"
547,6/19/2016,$1.02,"38,489,936","13,488,852","12,842,698","1,642,736","10,515,651","8,223,281","1,975,351","317,019"
548,6/12/2016,$1.04,"35,580,820","12,291,687","11,533,970","1,607,344","10,147,819","8,039,866","1,796,514","311,440"
549,6/5/2016,$0.97,"40,231,260","13,808,859","13,396,652","1,770,948","11,254,801","8,492,744","2,441,023","321,033"
550,5/29/2016,$0.94,"40,019,075","13,682,611","13,829,591","1,583,496","10,923,377","8,085,657","2,657,599","180,121"
551,5/22/2016,$0.93,"36,958,036","11,712,000","12,981,224","1,640,829","10,623,982","7,835,766","2,563,224","224,992"
552,5/15/2016,$0.89,"39,914,997","12,447,598","14,437,190","1,753,853","11,276,356","7,987,029","3,143,280","146,047"
553,5/8/2016,$0.82,"46,324,530","14,223,305","17,896,392","1,993,645","12,211,188","8,747,757","3,342,781","120,650"
554,5/1/2016,$0.84,"42,867,609","13,748,944","15,899,858","1,414,364","11,804,441","8,376,124","3,365,582","62,735"
555,4/24/2016,$0.87,"39,607,695","12,913,697","14,382,185","1,599,864","10,711,949","7,835,836","2,801,103","75,011"
556,4/17/2016,$0.90,"37,467,885","11,954,488","12,896,367","1,896,150","10,720,882","8,128,710","2,467,002","125,169"
557,4/10/2016,$0.90,"36,584,029","12,879,820","11,538,132","1,666,275","10,499,801","7,808,771","2,613,293","77,737"
558,4/3/2016,$0.94,"33,668,451","11,320,970","11,512,622","1,731,910","9,102,948","6,830,380","2,213,379","59,189"
559,3/27/2016,$0.94,"35,930,196","11,249,198","12,745,267","1,880,231","10,055,499","7,745,105","2,228,008","82,386"
560,3/20/2016,$0.93,"36,335,484","11,134,391","13,727,454","1,773,089","9,700,550","7,248,858","2,374,054","77,639"
561,3/13/2016,$0.93,"36,374,516","11,661,687","13,104,888","1,800,066","9,807,875","7,231,163","2,521,124","55,589"
562,3/6/2016,$0.95,"35,064,506","11,824,155","12,196,587","1,686,475","9,357,289","7,502,570","1,747,904","106,815"
563,2/28/2016,$0.91,"36,801,818","11,907,395","13,210,855","1,560,168","10,123,401","7,251,667","2,802,239","69,495"
564,2/21/2016,$0.94,"32,804,733","10,015,825","12,003,752","1,375,260","9,409,896","7,213,493","2,150,749","45,654"
565,2/14/2016,$0.88,"36,476,442","11,913,078","13,187,973","1,811,091","9,564,300","7,102,422","2,387,456","74,422"
566,2/7/2016,$0.76,"52,288,698","16,573,574","20,470,573","2,546,439","12,698,112","9,083,373","3,373,078","241,661"
567,1/31/2016,$0.93,"34,721,250","11,098,088","13,278,054","1,643,703","8,701,405","6,684,515","1,823,890","193,000"
568,1/24/2016,$0.95,"32,787,079","7,020,459","14,054,368","1,440,380","10,271,872","7,438,490","2,668,368","165,015"
569,1/17/2016,$0.94,"34,426,342","10,036,598","13,832,256","1,419,406","9,138,082","6,846,324","2,228,421","63,337"
570,1/10/2016,$0.93,"35,264,336","11,441,287","13,226,089","1,282,613","9,314,348","6,735,384","2,528,089","50,874"
571,1/3/2016,$0.86,"38,142,088","11,616,506","16,054,084","1,560,069","8,911,429","6,464,896","2,287,450","159,084"
572,12/27/2015,$0.95,"27,297,984","9,626,901","10,197,890","1,184,340","6,288,852","4,850,404","1,252,626","185,822"
573,12/20/2015,$0.98,"25,083,647","8,710,022","9,329,862","1,201,020","5,842,744","4,618,390","1,025,049","199,305"
574,12/13/2015,$0.93,"28,041,335","9,855,054","10,805,839","1,016,163","6,364,280","4,964,462","1,371,440","28,377"
575,12/6/2015,$0.89,"28,800,397","9,405,464","12,160,839","931,831","6,302,263","5,005,077","1,233,956","63,229"
576,11/29/2015,$0.99,"22,617,999","8,094,804","9,003,178","731,008","4,789,009","3,901,953","856,560","30,496"
577,11/22/2015,$0.96,"25,114,228","8,571,850","10,389,880","804,663","5,347,836","4,178,583","1,137,230","32,023"
578,11/15/2015,$0.92,"28,597,756","9,907,981","11,699,788","815,642","6,174,346","4,854,619","1,283,547","36,180"
579,11/8/2015,$0.97,"28,485,716","9,991,330","12,199,657","1,143,215","5,151,514","4,058,501","1,027,702","65,311"
580,11/1/2015,$0.97,"31,047,484","10,138,704","14,229,287","1,410,928","5,268,565","3,966,597","1,246,220","55,748"
581,10/25/2015,$1.04,"26,240,072","8,683,959","11,410,478","1,188,119","4,957,516","3,918,658","999,728","39,130"
582,10/18/2015,$0.99,"29,375,124","9,162,094","14,082,540","1,220,251","4,910,239","3,930,198","952,191","27,849"
583,10/11/2015,$1.00,"29,216,198","8,828,341","13,326,573","1,614,283","5,447,001","4,153,478","1,221,305","72,219"
584,10/4/2015,$1.02,"28,243,506","8,353,620","13,775,652","1,209,045","4,905,189","3,664,891","1,189,350","50,948"
585,9/27/2015,$1.03,"27,753,508","8,454,209","13,819,913","1,061,979","4,417,407","3,476,493","886,424","54,491"
586,9/20/2015,$1.02,"29,569,087","9,422,275","13,846,045","1,112,405","5,188,361","3,938,275","1,183,732","66,355"
587,9/13/2015,$1.03,"31,245,836","9,875,018","14,888,078","1,118,989","5,363,751","4,072,662","1,226,810","64,279"
588,9/6/2015,$1.02,"33,526,480","12,569,277","14,245,598","1,129,771","5,581,833","4,363,708","1,184,889","33,236"
589,8/30/2015,$1.07,"29,761,638","11,650,977","11,995,961","1,060,353","5,054,348","4,316,352","685,816","52,179"
590,8/23/2015,$1.08,"29,699,846","11,283,021","12,551,530","909,284","4,956,010","4,318,011","612,362","25,637"
591,8/16/2015,$1.05,"31,936,856","12,680,252","12,998,327","1,143,365","5,114,912","4,342,839","703,542","68,531"
592,8/9/2015,$1.05,"33,254,912","13,003,371","13,926,693","1,014,521","5,310,327","4,391,462","888,238","30,628"
593,8/2/2015,$1.09,"30,358,468","12,115,234","12,219,014","984,703","5,039,517","4,322,985","689,176","27,356"
594,7/26/2015,$1.07,"30,652,211","12,196,226","12,009,228","1,017,158","5,429,599","4,627,252","779,808","22,540"
595,7/19/2015,$1.07,"32,324,648","12,742,760","12,605,457","1,154,897","5,821,533","4,757,799","1,013,834","49,900"
596,7/12/2015,$1.07,"31,660,032","12,384,449","12,403,360","980,362","5,891,860","5,067,198","796,786","27,876"
597,7/5/2015,$1.04,"37,943,670","15,643,939","14,213,650","1,342,466","6,743,615","5,803,954","905,205","34,456"
598,6/28/2015,$1.06,"32,408,706","13,299,569","11,505,999","1,045,833","6,557,305","5,690,216","846,752","20,337"
599,6/21/2015,$1.02,"35,734,614","14,699,605","13,244,467","1,326,423","6,464,120","5,517,910","898,027","48,183"
600,6/14/2015,$0.98,"37,026,086","16,383,685","12,821,015","1,085,082","6,736,304","5,893,642","822,400","20,263"
601,6/7/2015,$1.00,"36,549,996","16,529,798","12,582,265","1,144,716","6,293,217","5,304,563","943,996","44,658"
602,5/31/2015,$1.03,"33,720,159","15,503,613","11,599,634","903,908","5,713,003","4,967,232","726,046","19,726"
603,5/24/2015,$1.04,"35,344,183","16,000,108","12,513,821","899,780","5,930,474","5,094,263","815,629","20,582"
604,5/17/2015,$1.06,"32,027,686","14,615,942","11,003,341","963,550","5,444,854","4,747,545","660,984","36,326"
605,5/10/2015,$1.02,"36,400,887","16,215,329","13,509,065","858,145","5,818,348","4,991,626","816,629","10,093"
606,5/3/2015,$0.96,"41,291,704","17,787,612","16,602,589","1,118,330","5,783,174","4,647,155","1,110,987","25,031"
607,4/26/2015,$1.07,"30,894,158","13,833,715","10,867,403","889,732","5,303,307","4,584,203","687,179","31,924"
608,4/19/2015,$1.03,"33,091,256","14,251,319","12,277,859","1,016,631","5,545,447","4,696,225","819,935","29,287"
609,4/12/2015,$1.02,"32,046,402","14,793,354","11,210,544","807,942","5,234,561","4,400,469","826,567","7,525"
610,4/5/2015,$1.06,"31,500,669","13,939,014","11,526,980","871,981","5,162,693","4,477,300","666,515","18,879"
611,3/29/2015,$1.04,"29,982,648","12,524,637","11,541,041","811,273","5,105,697","4,487,887","610,349","7,461"
612,3/22/2015,$1.01,"32,513,551","13,697,406","12,659,785","1,066,386","5,089,974","4,275,071","762,528","52,375"
613,3/15/2015,$1.04,"29,572,226","13,149,989","10,634,071","871,575","4,916,591","4,287,622","614,905","14,065"
614,3/8/2015,$1.02,"30,094,699","13,013,750","10,973,973","834,009","5,272,967","4,583,727","673,149","16,091"
615,3/1/2015,$0.97,"32,994,014","13,282,223","13,733,124","1,070,576","4,908,091","4,129,139","725,218","53,734"
616,2/22/2015,$1.02,"29,936,730","12,628,562","11,354,282","937,139","5,016,747","4,336,247","667,149","13,351"
617,2/15/2015,$1.03,"28,012,521","12,626,615","9,783,490","845,654","4,756,763","4,096,226","648,632","11,904"
618,2/8/2015,$0.95,"32,137,333","13,308,193","13,381,348","737,939","4,709,853","4,022,475","673,454","13,924"
619,2/1/2015,$0.89,"44,655,462","18,933,038","18,956,480","1,381,516","5,384,428","4,216,452","1,121,076","46,899"
620,1/25/2015,$1.04,"28,470,311","12,167,445","10,734,653","768,020","4,800,193","3,978,637","812,925","8,631"
621,1/18/2015,$1.03,"29,043,459","11,858,139","11,701,948","831,302","4,652,070","3,873,041","771,093","7,935"
622,1/11/2015,$1.01,"29,063,543","11,544,811","12,134,773","866,575","4,517,384","3,783,261","718,334","15,789"
623,1/4/2015,$0.95,"31,324,278","12,357,161","13,624,083","844,093","4,498,940","3,585,322","894,946","18,673"
624,12/25/2016,$1.00,"30,287,854","9,255,125","10,282,926","541,972","10,207,830","7,709,584","2,417,145","81,101"
625,12/18/2016,$0.96,"29,583,883","9,394,066","10,339,168","427,872","9,422,776","6,970,320","2,358,444","94,012"
626,12/11/2016,$0.98,"30,093,541","9,009,996","9,967,220","403,048","10,713,277","8,149,439","2,490,495","73,343"
627,12/4/2016,$1.00,"31,621,222","11,043,351","9,908,983","428,010","10,240,878","7,187,023","2,988,505","65,351"
628,11/27/2016,$1.21,"22,923,063","7,891,488","7,337,342","344,476","7,349,757","5,691,267","1,609,867","48,623"
629,11/20/2016,$1.27,"24,989,703","8,531,161","8,033,511","407,568","8,017,464","6,207,080","1,765,674","44,709"
630,11/13/2016,$1.36,"24,075,126","8,235,135","7,759,608","477,521","7,602,862","5,602,594","1,957,164","43,104"
631,11/6/2016,$1.44,"22,534,698","7,804,253","7,126,936","505,349","7,098,160","5,245,067","1,812,174","40,919"
632,10/30/2016,$1.43,"21,009,730","7,100,459","6,852,046","453,145","6,604,080","4,655,046","1,882,751","66,284"
633,10/23/2016,$1.34,"24,753,514","7,579,629","8,104,522","452,384","8,616,979","6,508,667","2,016,513","91,799"
634,10/16/2016,$1.30,"27,707,047","8,810,664","8,855,073","447,291","9,594,018","6,934,369","2,575,096","84,553"
635,10/9/2016,$1.27,"28,857,582","9,552,502","9,579,339","490,957","9,234,784","6,849,127","2,316,378","69,279"
636,10/2/2016,$1.23,"29,615,008","9,534,916","9,123,898","490,123","10,466,072","7,408,766","2,981,276","76,031"
637,9/25/2016,$1.22,"30,305,113","10,548,061","9,255,914","492,604","10,008,534","7,440,445","2,476,401","91,688"
638,9/18/2016,$1.15,"31,346,091","11,337,829","9,481,313","486,187","10,040,762","7,649,502","2,311,263","79,997"
639,9/11/2016,$1.08,"34,126,731","12,962,763","10,380,438","512,160","10,271,370","8,199,581","2,016,485","55,304"
640,9/4/2016,$1.04,"37,130,689","14,643,466","11,083,513","540,681","10,863,029","8,555,284","2,214,419","93,326"
641,8/28/2016,$1.09,"33,993,931","12,561,056","10,420,973","563,739","10,448,164","8,503,871","1,785,022","159,271"
642,8/21/2016,$1.10,"33,592,098","12,725,249","9,906,499","609,721","10,350,629","8,749,239","1,446,381","155,009"
643,8/14/2016,$1.12,"34,386,177","12,352,933","10,879,342","749,247","10,404,656","8,479,507","1,813,211","111,939"
644,8/7/2016,$1.15,"33,819,909","12,197,105","10,731,380","754,549","10,136,876","8,386,276","1,569,550","181,049"
645,7/31/2016,$1.23,"31,201,590","10,168,972","10,423,958","783,937","9,824,723","8,193,011","1,431,745","199,967"
646,7/24/2016,$1.20,"32,339,377","10,331,314","10,795,751","947,964","10,264,348","8,315,739","1,561,209","387,400"
647,7/17/2016,$1.15,"32,656,124","10,320,463","10,628,873","953,631","10,753,156","8,737,861","1,624,816","390,479"
648,7/10/2016,$1.10,"35,567,568","11,457,080","11,677,528","1,266,434","11,166,526","8,984,514","1,727,669","454,344"
649,7/3/2016,$1.06,"39,993,186","12,508,937","13,315,901","1,761,343","12,407,004","9,967,538","1,887,772","551,694"
650,6/26/2016,$1.04,"36,617,024","12,189,035","12,029,919","1,624,942","10,773,128","8,834,970","1,609,569","328,589"
651,6/19/2016,$1.02,"38,489,936","13,488,852","12,842,698","1,642,736","10,515,651","8,223,281","1,975,351","317,019"
652,6/12/2016,$1.04,"35,580,820","12,291,687","11,533,970","1,607,344","10,147,819","8,039,866","1,796,514","311,440"
653,6/5/2016,$0.97,"40,231,260","13,808,859","13,396,652","1,770,948","11,254,801","8,492,744","2,441,023","321,033"
654,5/29/2016,$0.94,"40,019,075","13,682,611","13,829,591","1,583,496","10,923,377","8,085,657","2,657,599","180,121"
655,5/22/2016,$0.93,"36,958,036","11,712,000","12,981,224","1,640,829","10,623,982","7,835,766","2,563,224","224,992"
656,5/15/2016,$0.89,"39,914,997","12,447,598","14,437,190","1,753,853","11,276,356","7,987,029","3,143,280","146,047"
657,5/8/2016,$0.82,"46,324,530","14,223,305","17,896,392","1,993,645","12,211,188","8,747,757","3,342,781","120,650"
658,5/1/2016,$0.84,"42,867,609","13,748,944","15,899,858","1,414,364","11,804,441","8,376,124","3,365,582","62,735"
659,4/24/2016,$0.87,"39,607,695","12,913,697","14,382,185","1,599,864","10,711,949","7,835,836","2,801,103","75,011"
660,4/17/2016,$0.90,"37,467,885","11,954,488","12,896,367","1,896,150","10,720,882","8,128,710","2,467,002","125,169"
661,4/10/2016,$0.90,"36,584,029","12,879,820","11,538,132","1,666,275","10,499,801","7,808,771","2,613,293","77,737"
662,4/3/2016,$0.94,"33,668,451","11,320,970","11,512,622","1,731,910","9,102,948","6,830,380","2,213,379","59,189"
663,3/27/2016,$0.94,"35,930,196","11,249,198","12,745,267","1,880,231","10,055,499","7,745,105","2,228,008","82,386"
664,3/20/2016,$0.93,"36,335,484","11,134,391","13,727,454","1,773,089","9,700,550","7,248,858","2,374,054","77,639"
665,3/13/2016,$0.93,"36,374,516","11,661,687","13,104,888","1,800,066","9,807,875","7,231,163","2,521,124","55,589"
666,3/6/2016,$0.95,"35,064,506","11,824,155","12,196,587","1,686,475","9,357,289","7,502,570","1,747,904","106,815"
667,2/28/2016,$0.91,"36,801,818","11,907,395","13,210,855","1,560,168","10,123,401","7,251,667","2,802,239","69,495"
668,2/21/2016,$0.94,"32,804,733","10,015,825","12,003,752","1,375,260","9,409,896","7,213,493","2,150,749","45,654"
669,2/14/2016,$0.88,"36,476,442","11,913,078","13,187,973","1,811,091","9,564,300","7,102,422","2,387,456","74,422"
670,2/7/2016,$0.76,"52,288,698","16,573,574","20,470,573","2,546,439","12,698,112","9,083,373","3,373,078","241,661"
671,1/31/2016,$0.93,"34,721,250","11,098,088","13,278,054","1,643,703","8,701,405","6,684,515","1,823,890","193,000"
672,1/24/2016,$0.95,"32,787,079","7,020,459","14,054,368","1,440,380","10,271,872","7,438,490","2,668,368","165,015"
673,1/17/2016,$0.94,"34,426,342","10,036,598","13,832,256","1,419,406","9,138,082","6,846,324","2,228,421","63,337"
674,1/10/2016,$0.93,"35,264,336","11,441,287","13,226,089","1,282,613","9,314,348","6,735,384","2,528,089","50,874"
675,1/3/2016,$0.86,"38,142,088","11,616,506","16,054,084","1,560,069","8,911,429","6,464,896","2,287,450","159,084"
676,12/31/2017,$0.98,"38,267,342","13,109,617","13,197,461","644,838","11,315,426","8,092,355","3,098,374","124,697"
677,12/24/2017,$1.18,"29,102,349","10,027,319","8,964,247","546,374","9,564,409","7,222,271","2,226,794","115,344"
678,12/17/2017,$1.07,"30,757,767","10,704,214","9,934,618","574,089","9,544,845","7,149,680","2,260,603","134,562"
679,12/10/2017,$1.03,"35,634,913","11,943,915","11,659,898","398,349","11,632,752","8,404,955","3,122,650","105,147"
680,12/3/2017,$1.09,"33,824,253","11,746,980","10,905,968","583,801","10,587,491","7,730,801","2,748,622","108,068"
681,11/26/2017,$1.24,"24,686,675","9,175,316","7,312,239","379,637","7,819,483","5,571,801","2,156,887","90,795"
682,11/19/2017,$1.17,"29,253,484","11,173,132","7,847,059","416,186","9,817,108","6,662,322","3,059,627","95,159"
683,11/12/2017,$1.15,"32,336,225","11,512,837","9,994,648","416,643","10,412,097","7,277,327","3,044,847","89,923"
684,11/5/2017,$1.19,"32,051,594","11,042,128","9,774,988","400,251","10,834,227","7,470,394","3,275,463","88,369"
685,10/29/2017,$1.29,"30,237,911","10,596,903","9,803,570","424,756","9,412,683","6,602,082","2,747,520","63,081"
686,10/22/2017,$1.44,"26,706,972","9,607,587","8,761,193","409,598","7,928,593","6,074,596","1,804,540","49,457"
687,10/15/2017,$1.58,"25,031,589","8,769,358","8,534,404","392,119","7,335,708","5,387,869","1,893,511","54,328"
688,10/8/2017,$1.65,"24,397,166","8,911,144","7,609,510","391,833","7,484,679","5,444,021","1,976,739","63,919"
689,10/1/2017,$1.64,"24,610,645","8,342,408","8,354,516","384,794","7,528,927","5,513,112","1,954,129","61,686"
690,9/24/2017,$1.62,"24,637,148","8,652,381","8,295,762","385,005","7,304,000","5,442,167","1,792,565","69,269"
691,9/17/2017,$1.57,"25,394,903","9,153,159","8,328,242","417,271","7,496,232","5,494,164","1,923,561","78,507"
692,9/10/2017,$1.56,"26,385,081","9,496,485","8,373,234","487,927","8,027,435","6,035,666","1,818,832","172,937"
693,9/3/2017,$1.57,"26,808,411","9,775,063","8,565,266","541,903","7,926,179","5,851,814","1,855,970","218,395"
694,8/27/2017,$1.47,"28,785,280","10,735,710","8,587,106","517,542","8,944,923","6,592,504","2,117,566","234,853"
695,8/20/2017,$1.41,"29,913,744","10,507,929","8,837,219","581,074","9,987,522","6,837,126","2,911,554","238,841"
696,8/13/2017,$1.33,"32,817,254","10,952,704","11,154,310","624,963","10,085,277","6,687,662","3,118,889","278,726"
697,8/6/2017,$1.33,"32,529,920","11,292,580","10,988,314","665,313","9,583,714","6,889,926","2,376,270","317,518"
698,7/30/2017,$1.32,"31,756,097","11,112,191","11,088,083","596,676","8,959,147","6,337,457","2,396,439","225,251"
699,7/23/2017,$1.31,"32,608,302","11,391,056","11,339,580","612,242","9,265,423","6,333,888","2,636,616","294,918"
700,7/16/2017,$1.33,"32,455,047","11,155,466","11,202,845","756,103","9,340,633","6,514,899","2,499,386","326,348"
701,7/9/2017,$1.17,"39,367,336","13,009,944","11,031,218","821,964","14,504,209","11,112,406","3,018,280","373,523"
702,7/2/2017,$1.21,"38,010,426","12,623,189","10,988,735","859,890","13,538,613","10,041,244","3,119,708","377,661"
703,6/25/2017,$1.17,"37,305,308","12,901,032","10,805,962","655,966","12,942,348","9,462,413","3,202,254","277,681"
704,6/18/2017,$1.18,"38,247,669","12,975,373","11,199,449","807,107","13,265,740","9,650,859","3,267,491","347,390"
705,6/11/2017,$1.21,"37,039,854","13,490,546","10,090,861","648,411","12,810,036","9,373,422","3,128,713","307,901"
706,6/4/2017,$1.24,"37,352,361","13,248,335","10,157,565","667,067","13,279,394","10,103,007","2,946,265","230,123"
707,5/28/2017,$1.28,"37,030,894","12,841,952","10,932,971","673,385","12,582,586","9,312,239","3,013,459","256,887"
708,5/21/2017,$1.26,"34,397,651","12,120,949","10,213,232","621,604","11,441,867","8,508,442","2,718,685","214,740"
709,5/14/2017,$1.19,"36,634,269","12,807,836","9,717,258","652,973","13,456,202","10,373,348","2,859,414","223,441"
710,5/7/2017,$1.09,"47,293,922","17,076,651","13,549,103","863,472","15,804,696","11,228,050","4,324,231","252,415"
711,4/30/2017,$1.18,"38,315,500","13,316,594","11,291,149","667,997","13,039,760","9,463,811","3,378,924","197,026"
712,4/23/2017,$1.18,"35,729,014","12,236,713","10,224,484","613,507","12,654,309","9,051,467","3,434,847","167,995"
713,4/16/2017,$1.23,"35,182,321","12,311,055","10,069,354","650,017","12,151,894","9,399,105","2,544,943","207,847"
714,4/9/2017,$1.21,"34,785,713","12,091,315","10,821,096","647,969","11,225,332","8,946,793","2,098,143","180,396"
715,4/2/2017,$1.21,"34,468,017","12,245,521","9,733,585","624,710","11,864,202","9,385,516","2,330,300","148,386"
716,3/26/2017,$1.24,"32,555,119","11,737,560","9,664,311","611,106","10,542,143","8,498,318","1,844,372","199,454"
717,3/19/2017,$1.25,"31,595,125","10,975,690","9,622,712","638,218","10,358,506","8,202,242","2,000,176","156,087"
718,3/12/2017,$1.22,"32,020,574","11,228,357","9,575,227","727,233","10,489,756","8,207,585","2,124,294","157,877"
719,3/5/2017,$1.13,"33,684,175","11,335,276","10,807,890","795,173","10,745,837","8,302,601","2,322,677","120,559"
720,2/26/2017,$0.99,"37,007,798","13,173,668","11,398,143","896,762","11,539,225","8,945,889","2,405,734","187,602"
721,2/19/2017,$0.99,"33,905,855","11,321,732","10,351,148","832,906","11,400,068","8,676,990","2,576,167","146,912"
722,2/12/2017,$0.87,"41,077,471","15,051,952","12,184,188","862,322","12,979,009","9,922,490","2,919,324","137,194"
723,2/5/2017,$0.77,"61,034,457","22,743,616","20,328,162","1,664,383","16,298,296","12,567,156","3,618,271","112,870"
724,1/29/2017,$0.96,"39,373,579","14,034,076","11,683,465","818,727","12,837,312","9,918,256","2,799,961","119,096"
725,1/22/2017,$0.94,"42,140,393","14,254,150","14,212,882","908,616","12,764,745","9,462,854","3,231,020","70,871"
726,1/15/2017,$0.98,"38,295,488","12,936,858","12,625,665","579,347","12,153,618","9,445,622","2,638,918","69,078"
727,1/8/2017,$0.99,"38,049,803","11,809,728","13,856,935","539,068","11,844,072","9,332,972","2,432,259","78,841"
728,1/1/2017,$0.89,"38,879,717","12,707,895","14,201,201","549,845","11,420,777","8,551,134","2,802,709","66,934"
